titulo,ubicacion,sector,precio_usd,area_m2,habitaciones,banos,parqueaderos,antiguedad_anos
"Casa/Dep en Venta de 214m² en La Carolina, Quito",Quito,La Carolina,300200.0,214.7,3,4,2,7
"Casa/Dep en Venta de 165m² en Tumbaco, Quito",Quito,Tumbaco,188800.0,165.4,3,3,2,16
"Casa/Dep en Venta de 309m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,272500.0,309.3,5,4,2,28
"Casa/Dep en Venta de 151m² en La Carolina, Quito",Quito,La Carolina,238700.0,151.7,3,3,2,1
"Casa/Dep en Venta de 196m² en Centro Histórico, Quito",Quito,Centro Histórico,132300.0,196.3,3,4,2,2
"Casa/Dep en Venta de 124m² en El Batán, Quito",Quito,El Batán,168300.0,124.1,3,2,1,3
"Casa/Dep en Venta de 298m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,489200.0,298.1,5,5,2,5
"Casa/Dep en Venta de 147m² en Tumbaco, Quito",Quito,Tumbaco,198700.0,147.6,4,3,2,1
"Casa/Dep en Venta de 144m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,244400.0,144.6,3,4,3,4
"Casa/Dep en Venta de 179m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,139700.0,179.1,4,3,3,19
"Casa/Dep en Venta de 240m² en Centro Histórico, Quito",Quito,Centro Histórico,177200.0,240.4,3,4,2,5
"Casa/Dep en Venta de 110m² en Centro Histórico, Quito",Quito,Centro Histórico,91400.0,110.4,3,3,1,11
"Casa/Dep en Venta de 233m² en La Carolina, Quito",Quito,La Carolina,365100.0,233.5,3,3,3,1
"Casa/Dep en Venta de 172m² en La Carolina, Quito",Quito,La Carolina,254500.0,172.6,3,3,3,2
"Casa/Dep en Venta de 152m² en Samborondón, Guayaquil",Guayaquil,Samborondón,269500.0,152.2,4,4,2,6
"Casa/Dep en Venta de 202m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,199600.0,202.1,4,3,3,34
"Casa/Dep en Venta de 140m² en La Carolina, Quito",Quito,La Carolina,202500.0,140.6,3,3,2,13
"Casa/Dep en Venta de 258m² en El Batán, Quito",Quito,El Batán,418000.0,258.0,5,5,4,0
"Casa/Dep en Venta de 132m² en Centro Histórico, Quito",Quito,Centro Histórico,105900.0,132.4,2,3,1,7
"Casa/Dep en Venta de 151m² en Tumbaco, Quito",Quito,Tumbaco,199300.0,151.2,3,4,3,3
"Casa/Dep en Venta de 239m² en Samborondón, Guayaquil",Guayaquil,Samborondón,458100.0,239.5,3,3,3,5
"Casa/Dep en Venta de 204m² en Tumbaco, Quito",Quito,Tumbaco,247800.0,204.8,4,4,3,6
"Casa/Dep en Venta de 177m² en González Suárez, Quito",Quito,González Suárez,319400.0,177.7,4,3,2,4
"Casa/Dep en Venta de 185m² en Centro Histórico, Quito",Quito,Centro Histórico,161400.0,185.7,4,4,3,5
"Casa/Dep en Venta de 166m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,210600.0,166.2,3,3,3,11
"Casa/Dep en Venta de 133m² en La Carolina, Quito",Quito,La Carolina,165700.0,133.9,2,2,1,13
"Casa/Dep en Venta de 248m² en González Suárez, Quito",Quito,González Suárez,410600.0,248.1,4,3,3,1
"Casa/Dep en Venta de 186m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,326400.0,186.4,4,4,2,18
"Casa/Dep en Venta de 139m² en La Carolina, Quito",Quito,La Carolina,188900.0,139.3,3,3,1,4
"Casa/Dep en Venta de 200m² en Samborondón, Guayaquil",Guayaquil,Samborondón,331500.0,200.1,4,3,3,5
"Casa/Dep en Venta de 106m² en Cumbayá, Quito",Quito,Cumbayá,158400.0,106.8,3,2,1,3
"Casa/Dep en Venta de 169m² en Samborondón, Guayaquil",Guayaquil,Samborondón,278000.0,169.8,3,3,3,9
"Casa/Dep en Venta de 197m² en González Suárez, Quito",Quito,González Suárez,308700.0,197.4,3,4,3,2
"Casa/Dep en Venta de 88m² en Cumbayá, Quito",Quito,Cumbayá,146800.0,88.8,2,3,2,0
"Casa/Dep en Venta de 183m² en Tumbaco, Quito",Quito,Tumbaco,318700.0,183.9,3,3,2,2
"Casa/Dep en Venta de 167m² en La Carolina, Quito",Quito,La Carolina,249900.0,167.9,4,3,2,5
"Casa/Dep en Venta de 267m² en González Suárez, Quito",Quito,González Suárez,447900.0,267.9,6,5,4,10
"Casa/Dep en Venta de 292m² en González Suárez, Quito",Quito,González Suárez,380700.0,292.0,5,6,4,6
"Casa/Dep en Venta de 125m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,191300.0,125.1,2,2,2,7
"Casa/Dep en Venta de 101m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,179900.0,101.6,3,3,2,1
"Casa/Dep en Venta de 128m² en La Carolina, Quito",Quito,La Carolina,215500.0,128.5,2,2,1,1
"Casa/Dep en Venta de 135m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,142100.0,135.1,2,2,1,16
"Casa/Dep en Venta de 239m² en Cumbayá, Quito",Quito,Cumbayá,319200.0,239.6,3,3,2,6
"Casa/Dep en Venta de 99m² en La Carolina, Quito",Quito,La Carolina,127200.0,99.5,2,3,1,18
"Casa/Dep en Venta de 197m² en Centro Histórico, Quito",Quito,Centro Histórico,199700.0,197.5,3,4,3,3
"Casa/Dep en Venta de 216m² en Tumbaco, Quito",Quito,Tumbaco,273700.0,216.6,3,4,2,12
"Casa/Dep en Venta de 140m² en El Batán, Quito",Quito,El Batán,172900.0,140.4,4,3,2,18
"Casa/Dep en Venta de 199m² en La Carolina, Quito",Quito,La Carolina,283400.0,199.9,4,4,3,1
"Casa/Dep en Venta de 125m² en La Carolina, Quito",Quito,La Carolina,189200.0,125.9,2,3,2,10
"Casa/Dep en Venta de 252m² en La Carolina, Quito",Quito,La Carolina,376800.0,252.2,4,4,2,6
"Casa/Dep en Venta de 164m² en Centro Histórico, Quito",Quito,Centro Histórico,137500.0,164.7,4,3,3,2
"Casa/Dep en Venta de 175m² en González Suárez, Quito",Quito,González Suárez,268300.0,175.1,4,4,2,7
"Casa/Dep en Venta de 180m² en La Carolina, Quito",Quito,La Carolina,301300.0,180.8,4,3,2,5
"Casa/Dep en Venta de 224m² en Centro Histórico, Quito",Quito,Centro Histórico,181600.0,224.6,3,3,2,0
"Casa/Dep en Venta de 121m² en González Suárez, Quito",Quito,González Suárez,163700.0,121.4,3,3,2,24
"Casa/Dep en Venta de 166m² en Tumbaco, Quito",Quito,Tumbaco,204200.0,166.0,4,3,2,21
"Casa/Dep en Venta de 213m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,340900.0,213.0,3,4,3,15
"Casa/Dep en Venta de 132m² en El Batán, Quito",Quito,El Batán,152300.0,132.0,3,3,2,3
"Casa/Dep en Venta de 194m² en González Suárez, Quito",Quito,González Suárez,237600.0,194.3,3,4,2,9
"Casa/Dep en Venta de 130m² en Cumbayá, Quito",Quito,Cumbayá,166200.0,130.2,2,3,1,36
"Casa/Dep en Venta de 183m² en Cumbayá, Quito",Quito,Cumbayá,240400.0,183.8,4,3,2,10
"Casa/Dep en Venta de 262m² en Centro Histórico, Quito",Quito,Centro Histórico,267300.0,262.6,4,4,2,2
"Casa/Dep en Venta de 216m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,207100.0,216.1,3,3,3,19
"Casa/Dep en Venta de 216m² en La Carolina, Quito",Quito,La Carolina,429900.0,216.1,3,3,2,8
"Casa/Dep en Venta de 251m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,507900.0,251.4,6,6,4,3
"Casa/Dep en Venta de 135m² en Centro Histórico, Quito",Quito,Centro Histórico,115700.0,135.7,3,3,1,0
"Casa/Dep en Venta de 390m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,383200.0,390.0,4,5,3,7
"Casa/Dep en Venta de 151m² en González Suárez, Quito",Quito,González Suárez,265400.0,151.6,4,4,3,5
"Casa/Dep en Venta de 138m² en La Carolina, Quito",Quito,La Carolina,215500.0,138.6,2,3,1,0
"Casa/Dep en Venta de 183m² en La Carolina, Quito",Quito,La Carolina,239700.0,183.0,3,4,2,8
"Casa/Dep en Venta de 85m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,110500.0,85.5,2,2,2,2
"Casa/Dep en Venta de 134m² en Samborondón, Guayaquil",Guayaquil,Samborondón,171100.0,134.7,2,3,2,26
"Casa/Dep en Venta de 215m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,241000.0,215.3,3,4,2,1
"Casa/Dep en Venta de 151m² en González Suárez, Quito",Quito,González Suárez,199700.0,151.4,4,3,2,10
"Casa/Dep en Venta de 113m² en Centro Histórico, Quito",Quito,Centro Histórico,106500.0,113.2,2,3,2,10
"Casa/Dep en Venta de 367m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,429600.0,367.5,4,6,3,2
"Casa/Dep en Venta de 279m² en Tumbaco, Quito",Quito,Tumbaco,350700.0,279.2,6,6,3,0
"Casa/Dep en Venta de 210m² en Centro Histórico, Quito",Quito,Centro Histórico,210900.0,210.8,4,4,2,0
"Casa/Dep en Venta de 57m² en La Carolina, Quito",Quito,La Carolina,71900.0,57.5,2,1,1,4
"Casa/Dep en Venta de 314m² en Cumbayá, Quito",Quito,Cumbayá,425600.0,314.7,4,5,2,0
"Casa/Dep en Venta de 295m² en Samborondón, Guayaquil",Guayaquil,Samborondón,343400.0,295.7,4,6,3,15
"Casa/Dep en Venta de 125m² en Centro Histórico, Quito",Quito,Centro Histórico,110000.0,125.5,3,2,1,8
"Casa/Dep en Venta de 184m² en La Carolina, Quito",Quito,La Carolina,261500.0,184.6,3,3,3,6
"Casa/Dep en Venta de 310m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,262200.0,310.0,6,4,3,6
"Casa/Dep en Venta de 170m² en González Suárez, Quito",Quito,González Suárez,253400.0,170.4,3,4,3,18
"Casa/Dep en Venta de 199m² en Cumbayá, Quito",Quito,Cumbayá,296700.0,199.0,4,3,2,3
"Casa/Dep en Venta de 145m² en La Carolina, Quito",Quito,La Carolina,221300.0,145.2,4,4,2,9
"Casa/Dep en Venta de 246m² en Tumbaco, Quito",Quito,Tumbaco,319800.0,246.8,3,3,3,13
"Casa/Dep en Venta de 132m² en Cumbayá, Quito",Quito,Cumbayá,184500.0,132.9,2,3,2,13
"Casa/Dep en Venta de 178m² en Tumbaco, Quito",Quito,Tumbaco,222500.0,178.6,4,3,2,11
"Casa/Dep en Venta de 218m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,362700.0,218.5,3,4,2,4
"Casa/Dep en Venta de 240m² en Tumbaco, Quito",Quito,Tumbaco,317400.0,240.6,4,4,3,18
"Casa/Dep en Venta de 282m² en Tumbaco, Quito",Quito,Tumbaco,349500.0,282.8,4,4,4,18
"Casa/Dep en Venta de 202m² en Tumbaco, Quito",Quito,Tumbaco,262100.0,202.1,4,4,3,6
"Casa/Dep en Venta de 133m² en La Carolina, Quito",Quito,La Carolina,239100.0,133.4,3,3,2,3
"Casa/Dep en Venta de 269m² en Centro Histórico, Quito",Quito,Centro Histórico,245700.0,269.3,5,4,2,12
"Casa/Dep en Venta de 179m² en Samborondón, Guayaquil",Guayaquil,Samborondón,238500.0,179.2,3,4,2,6
"Casa/Dep en Venta de 253m² en La Carolina, Quito",Quito,La Carolina,385500.0,253.2,6,5,3,0
"Casa/Dep en Venta de 208m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,258300.0,208.5,4,3,3,0
"Casa/Dep en Venta de 196m² en Valle de los Chillos, Quito",Quito,Valle de los Chillos,168700.0,196.5,3,4,2,13
"Casa/Dep en Venta de 151m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,223200.0,151.6,3,3,3,34
"Casa/Dep en Venta de 105m² en Puerto Santa Ana, Guayaquil",Guayaquil,Puerto Santa Ana,121400.0,105.6,2,3,2,23
"Casa/Dep en Venta de 138m² en La Carolina, Quito",Quito,La Carolina,193500.0,138.4,3,3,2,6
"Casa/Dep en Venta de 243m² en Kennedy Norte, Guayaquil",Guayaquil,Kennedy Norte,295100.0,243.3,4,4,2,5
